Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 8000
	- number of iterations 100
	- degree 8
	- delta 2.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 500
Simulation 1
40000	2368
41000	2644
42000	2252
43000	2331
44000	2499
Numero di step eseguiti = 44992
Simulation 15
0	7160
1000	7190
2000	7179
3000	7180
4000	7175
5000	7175
6000	7177
7000	7179
8000	7181
9000	7177
10000	7166
11000	7157
12000	6989
13000	7173
14000	6956
15000	7102
16000	6677
17000	6685
18000	6375
19000	6819
20000	6145
21000	5227
22000	4803
23000	4726
24000	4079
25000	7199
26000	3991
27000	4895
28000	6299
29000	7199
30000	6992
Numero di step eseguiti = 30556
Simulation 16
0	7165
Numero di step eseguiti = 191
Simulation 17
0	7153
1000	7189
2000	7190
3000	7180
4000	7187
5000	7189
6000	7167
7000	7173
8000	7163
9000	7143
10000	7171
11000	7168
12000	7160
13000	7171
14000	7178
15000	7085
16000	7162
17000	7173
18000	7166
19000	7114
20000	7075
21000	7113
22000	7098
23000	7023
24000	6250
25000	5603
26000	4600
27000	4355
28000	4033
29000	3665
30000	3641
31000	3018
32000	3856
33000	4854
34000	4406
Numero di step eseguiti = 34684
Simulation 18
0	7148
1000	7191
2000	7186
3000	7186
4000	7180
5000	7173
6000	7168
7000	7166
8000	7149
9000	7144
10000	7149
11000	7159
12000	7157
13000	7115
14000	7084
15000	7146
16000	6981
17000	7130
18000	6741
19000	6555
20000	6387
21000	6056
22000	5707
23000	7186
24000	4961
25000	4668
26000	4425
27000	3966
28000	4070
29000	5328
30000	5329
31000	7191
32000	7196
33000	7195
34000	7196
35000	7194
36000	7198
37000	7197
38000	7199
39000	7199
Numero di step eseguiti = 39960
Simulation 19
0	7156
1000	7193
2000	7183
3000	7184
4000	7182
5000	7185
6000	7165
7000	7149
8000	7169
9000	7162
10000	7170
11000	7169
12000	7169
13000	7151
14000	7161
15000	7102
16000	7167
17000	7182
18000	7174
19000	7097
20000	7176
21000	6921
22000	6871
23000	7098
24000	7075
25000	7106
Numero di step eseguiti = 25929
Simulation 20
0	7150
Numero di step eseguiti = 130
Simulation 21
0	7160
1000	7190
2000	7190
3000	7179
4000	7163
5000	7171
6000	7171
7000	7174
8000	7173
9000	7176
10000	7171
11000	7177
12000	7181
13000	7186
14000	7181
15000	7182
16000	7152
17000	7137
18000	7117
19000	7141
20000	7075
21000	7174
22000	7113
23000	6894
24000	7129
25000	6734
26000	5832
27000	5277
28000	6611
29000	4109
30000	3645
31000	3150
32000	5521
33000	4617
Numero di step eseguiti = 33674
Simulation 22
0	7153
1000	7183
2000	7186
3000	7187
4000	7179
5000	7186
6000	7171
7000	7179
8000	7169
9000	7159
10000	7156
11000	7157
12000	7174
13000	7139
14000	7147
15000	7176
16000	7139
17000	7086
18000	7149
19000	7085
20000	6794
21000	6788
22000	6181
23000	5403
24000	5364
25000	5027
26000	4313
27000	4048
28000	3683
29000	3408
30000	3261
31000	3122
32000	4550
33000	7198
34000	7196
35000	7198
Numero di step eseguiti = 35068
Simulation 23
0	7156
1000	7191
2000	7190
3000	7186
4000	7190
5000	7183
6000	7156
7000	7183
8000	7171
9000	7167
10000	7190
11000	7181
12000	7157
13000	7152
14000	7126
15000	7154
16000	7176
17000	6910
18000	7165
19000	7180
20000	6435
21000	6532
22000	6668
23000	7184
24000	5462
Numero di step eseguiti = 24472
Simulation 24
0	7149
1000	7190
2000	7188
3000	7182
4000	7180
5000	7184
6000	7176
7000	7171
8000	7181
9000	7167
10000	7175
11000	7170
12000	7153
13000	7170
14000	7167
15000	7132
16000	6991
17000	7077
18000	7132
19000	7045
20000	6731
21000	6632
22000	6456
23000	6291
24000	6652
25000	5099
26000	4554
27000	4643
28000	6262
29000	5065
Numero di step eseguiti = 29883
Simulation 25
0	7157
Numero di step eseguiti = 114
Simulation 26
0	7167
1000	7187
2000	7186
3000	7189
4000	7183
5000	7182
6000	7171
7000	7176
8000	7167
9000	7170
10000	7168
11000	7180
12000	7171
13000	7162
14000	7124
15000	7147
16000	7144
17000	7103
18000	7160
19000	7168
20000	7006
21000	6456
22000	5989
23000	5271
24000	4702
25000	4089
26000	6396
27000	7172
28000	3903
29000	3407
30000	3343
31000	3257
32000	3222
33000	3121
34000	4486
Numero di step eseguiti = 34785
Simulation 27
0	7158
1000	7192
2000	7189
3000	7187
4000	7182
5000	7174
6000	7162
7000	7172
8000	7163
9000	7170
10000	7150
11000	7162
12000	7174
13000	7168
14000	7157
15000	7164
16000	7108
17000	7129
18000	7114
19000	6908
20000	6931
21000	6967
22000	6543
23000	6174
24000	5544
25000	6043
26000	5136
27000	4213
28000	3787
29000	3787
30000	3911
Numero di step eseguiti = 30954
Simulation 28
0	7147
1000	7191
2000	7194
3000	7184
4000	7187
5000	7173
6000	7184
7000	7171
8000	7159
9000	7164
10000	7134
11000	7144
12000	7135
13000	7158
14000	7119
15000	7149
16000	7175
17000	7138
18000	7044
19000	7070
20000	6343
21000	5766
22000	5663
23000	5760
24000	5677
25000	4604
26000	7199
Numero di step eseguiti = 26940
Simulation 29
0	7147
1000	7185
2000	7184
3000	7180
4000	7171
5000	7175
6000	7170
7000	7171
8000	7146
9000	7145
10000	7120
11000	7117
12000	7114
13000	7124
14000	7117
15000	7165
16000	7104
17000	7115
18000	7135
19000	7178
20000	7112
21000	6779
22000	6297
23000	6169
24000	6048
25000	7099
