Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 8000
	- number of iterations 100
	- degree 8
	- delta 0.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 500
Simulation 1
23000	7148
24000	7190
25000	7162
26000	7186
27000	6926
28000	6175
29000	5736
30000	5479
31000	5131
32000	4236
33000	3259
34000	5476
Numero di step eseguiti = 34344
Simulation 21
0	7179
1000	7198
2000	7192
3000	7185
4000	7190
5000	7184
6000	7184
7000	7186
8000	7188
9000	7184
10000	7185
11000	7174
12000	7176
13000	7159
14000	7126
15000	7130
16000	7157
17000	7147
18000	7177
19000	7123
20000	7144
21000	7145
22000	6847
23000	7176
24000	7166
25000	7167
26000	6338
27000	5596
28000	5344
29000	5057
30000	4896
31000	3890
32000	3660
33000	3721
Numero di step eseguiti = 33887
Simulation 22
0	7179
1000	7196
2000	7189
3000	7188
4000	7184
5000	7179
6000	7187
7000	7183
8000	7180
9000	7183
10000	7172
11000	7168
12000	7157
13000	7159
14000	7172
15000	7166
16000	7163
17000	7176
18000	7134
19000	7052
20000	6759
21000	6528
22000	6361
23000	6103
24000	5578
25000	4730
26000	4683
27000	4199
28000	4034
Numero di step eseguiti = 28461
Simulation 23
0	7180
Numero di step eseguiti = 295
Simulation 24
0	7180
1000	7193
2000	7190
3000	7191
4000	7195
5000	7185
6000	7190
7000	7188
8000	7185
9000	7189
10000	7177
11000	7165
12000	7166
13000	7166
14000	7105
15000	7103
16000	7114
17000	7090
18000	7177
19000	7136
20000	7081
21000	7171
22000	6743
23000	6850
24000	7177
25000	6053
26000	5954
27000	5211
28000	4379
29000	4974
30000	7196
Numero di step eseguiti = 30847
Simulation 25
0	7182
1000	7193
2000	7192
3000	7190
4000	7189
5000	7187
6000	7176
7000	7183
8000	7170
9000	7168
10000	7182
11000	7186
12000	7177
13000	7174
14000	7182
15000	7180
16000	7192
17000	7194
18000	7193
19000	7188
20000	7147
21000	7181
22000	7062
23000	7015
24000	7177
25000	6820
26000	7129
27000	6713
28000	6445
29000	6003
30000	5656
31000	6149
Numero di step eseguiti = 31927
Simulation 26
0	7180
Numero di step eseguiti = 102
Simulation 27
0	7176
1000	7195
2000	7195
3000	7196
4000	7189
5000	7187
6000	7180
7000	7188
8000	7178
9000	7176
10000	7178
11000	7169
12000	7171
13000	7175
14000	7167
15000	7168
16000	7159
17000	7181
18000	7162
19000	7186
20000	7183
21000	7020
22000	7021
23000	7078
24000	6515
25000	5751
26000	5283
27000	4775
28000	4355
29000	4284
30000	4087
31000	5008
Numero di step eseguiti = 31487
Simulation 28
0	7188
Numero di step eseguiti = 81
Simulation 29
0	7182
Numero di step eseguiti = 177
Simulation 30
0	7173
Numero di step eseguiti = 236
Simulation 31
0	7180
1000	7186
2000	7188
3000	7189
4000	7180
5000	7179
6000	7180
7000	7178
8000	7163
9000	7175
10000	7168
11000	7176
12000	7178
13000	7164
14000	7157
15000	7154
16000	7177
17000	7155
18000	7130
19000	6927
20000	7156
21000	6899
22000	6731
23000	6218
24000	6888
25000	5196
26000	5057
27000	4723
28000	4334
29000	4110
30000	3468
31000	3311
32000	3495
Numero di step eseguiti = 32733
Simulation 32
0	7179
Numero di step eseguiti = 195
Simulation 33
0	7171
Numero di step eseguiti = 437
Simulation 34
0	7185
Numero di step eseguiti = 85
Simulation 35
0	7173
1000	7190
2000	7191
3000	7192
4000	7192
5000	7187
6000	7187
7000	7189
8000	7189
9000	7181
10000	7172
11000	7188
12000	7184
13000	7191
14000	7173
15000	7157
16000	7182
17000	7184
18000	7170
19000	7192
20000	7182
21000	6876
22000	6480
23000	6062
24000	5495
25000	5813
26000	6376
27000	5210
28000	3978
29000	3826
30000	4456
Numero di step eseguiti = 30719
Simulation 36
0	7177
1000	7190
2000	7195
3000	7191
4000	7189
5000	7181
6000	7186
7000	7181
8000	7185
9000	7180
10000	7184
11000	7184
12000	7181
13000	7190
14000	7157
15000	7129
16000	7030
17000	7058
18000	6864
19000	7181
20000	6800
21000	6892
22000	6603
23000	7137
24000	6363
25000	5952
26000	5731
27000	5318
28000	5270
29000	5126
30000	4606
31000	4468
32000	4615
33000	4029
34000	3811
35000	3732
36000	3545
37000	3255
38000	4924
Numero di step eseguiti = 38384
Simulation 37
0	7173
1000	7190
2000	7188
3000	7193
4000	7195
5000	7189
6000	7181
7000	7188
8000	7182
9000	7179
10000	7178
11000	7165
12000	7176
13000	7161
14000	7165
15000	7188
16000	7176
17000	7155
18000	7086
19000	6910
20000	6869
21000	6677
22000	6812
23000	7165
24000	7132
25000	6018
26000	5569
27000	6551
28000	5645
29000	5606
30000	7198
Numero di step eseguiti = 30770
Simulation 38
0	7179
1000	7194
2000	7195
3000	7186
4000	7187
5000	7179
6000	7178
7000	7168
8000	7179
9000	7180
10000	7171
11000	7162
12000	7176
13000	7174
14000	7185
15000	7192
16000	7178
17000	7179
18000	7184
19000	7083
20000	6889
21000	6602
22000	6313
23000	6256
24000	6192
25000	5477
26000	5011
27000	4040
28000	3554
29000	3503
30000	3602
31000	3326
32000	3294
33000	3102
34000	2647
35000	2893
36000	2780
37000	2935
38000	2649
39000	2511
40000	2759
Numero di step eseguiti = 40245
Simulation 39
0	7175
1000	7194
2000	7191
3000	7186
4000	7192
5000	7184
6000	7192
7000	7182
8000	7189
9000	7184
10000	7176
11000	7186
12000	7190
13000	7184
14000	7191
15000	7192
16000	7184
Numero di step eseguiti = 16658
Simulation 40
0	7178
Numero di step eseguiti = 98
Simulation 41
0	7174
1000	7195
2000	7196
3000	7190
4000	7190
5000	7176
6000	7181
7000	7171
8000	7183
9000	7181
10000	7167
11000	7176
12000	7179
13000	7158
14000	7176
15000	7178
16000	7179
17000	7171
18000	7166
19000	7143
20000	7103
21000	7158
22000	7151
23000	7121
24000	7148
25000	6973
26000	7061
27000	7042
28000	6541
29000	5216
30000	5102
31000	4755
32000	4327
33000	4291
34000	3920
35000	3259
36000	3295
37000	3162
Numero di step eseguiti = 37393
Simulation 42
0	7180
Numero di step eseguiti = 141
Simulation 43
0	7178
Numero di step eseguiti = 126
Simulation 44
0	7175
Numero di step eseguiti = 422
Simulation 45
0	7184
1000	7194
2000	7189
3000	7192
4000	7179
5000	7178
6000	7175
7000	7180
8000	7163
9000	7154
10000	7168
11000	7157
12000	7179
13000	7153
14000	7174
15000	7150
16000	7169
17000	7125
18000	7120
19000	7136
20000	7094
21000	7111
22000	7161
23000	7041
24000	7003
25000	6167
26000	5848
27000	5162
28000	5094
29000	4803
30000	4374
31000	4034
32000	3727
33000	3595
34000	3459
35000	3460
36000	3084
Numero di step eseguiti = 36654
Simulation 46
0	7182
1000	7191
2000	7195
3000	7191
4000	7193
5000	7192
6000	7185
7000	7179
8000	7177
9000	7179
10000	7177
11000	7176
12000	7180
13000	7188
14000	7160
15000	7158
16000	7187
17000	7161
18000	7139
19000	7099
20000	7122
21000	7176
22000	6998
23000	7061
24000	6702
25000	6657
26000	6481
27000	5871
28000	5628
29000	4991
30000	4821
31000	4471
32000	3967
33000	4623
34000	5247
35000	7199
Numero di step eseguiti = 35027
Simulation 47
0	7178
1000	7199
2000	7194
3000	7193
4000	7198
5000	7198
6000	7195
7000	7192
8000	7186
9000	7193
10000	7178
11000	7176
12000	7167
13000	7151
14000	7142
15000	7167
16000	7160
17000	7137
18000	7189
19000	7179
20000	7153
21000	7149
22000	7072
23000	7080
24000	6317
25000	5778
26000	5845
27000	5589
28000	4992
29000	4635
30000	4092
31000	3865
32000	3566
33000	3483
34000	3816
35000	5575
Numero di step eseguiti = 35356
Simulation 48
0	7180
Numero di step eseguiti = 243
Simulation 49
0	7179
Numero di step eseguiti = 96
Simulation 50
0	7163
1000	7190
2000	7192
3000	7185
4000	7191
5000	7189
6000	7181
7000	7176
8000	7183
9000	7190
10000	7184
11000	7183
12000	7143
13000	7169
14000	7179
15000	7175
16000	7121
17000	6950
18000	6912
19000	7185
20000	6850
21000	6662
22000	6410
23000	6378
24000	5403
25000	5466
26000	5172
27000	4892
28000	5389
29000	4451
30000	3959
31000	3614
32000	4325
33000	4278
34000	6694
Numero di step eseguiti = 34202
Simulation 51
0	7183
1000	7199
2000	7196
3000	7187
4000	7193
5000	7195
6000	7190
7000	7187
8000	7189
9000	7190
10000	7191
11000	7190
12000	7186
13000	7175
14000	7187
15000	7165
16000	7168
17000	7166
18000	7157
19000	7181
20000	7132
21000	7074
22000	7083
23000	6742
24000	6375
25000	6195
26000	5971
27000	5679
28000	5114
29000	5244
30000	6418
Numero di step eseguiti = 30183
Simulation 52
0	7180
1000	7196
2000	7191
3000	7186
4000	7193
5000	7188
6000	7187
7000	7185
8000	7187
9000	7178
10000	7178
11000	7181
12000	7177
13000	7153
14000	7155
15000	7177
16000	7168
17000	7086
18000	7169
19000	7182
20000	6990
21000	7137
22000	7196
Numero di step eseguiti = 22327
Simulation 53
0	7176
Numero di step eseguiti = 376
Simulation 54
0	7180
1000	7192
2000	7185
3000	7188
4000	7191
5000	7193
6000	7190
7000	7184
8000	7171
9000	7183
10000	7185
11000	7187
12000	7188
13000	7181
14000	7177
15000	7173
16000	7149
17000	7102
18000	7174
19000	7126
20000	7102
21000	7119
22000	7100
23000	7032
24000	6850
25000	6651
26000	6531
27000	6320
28000	6143
29000	5701
30000	5310
31000	4712
32000	4307
33000	4232
34000	5421
35000	5708
Numero di step eseguiti = 35355
Simulation 55
0	7180
Numero di step eseguiti = 995
Simulation 56
0	7173
1000	7193
2000	7192
3000	7189
4000	7191
5000	7186
6000	7177
7000	7176
8000	7184
9000	7187
10000	7174
11000	7158
12000	7163
13000	7171
14000	7156
15000	7154
16000	7161
17000	7181
18000	7165
19000	7164
20000	7146
21000	7068
22000	6937
23000	6877
24000	6633
25000	6396
26000	5979
27000	5877
28000	4777
29000	4328
30000	4211
31000	4008
32000	3484
33000	3480
34000	4210
35000	3895
36000	6171
Numero di step eseguiti = 36374
Simulation 57
0	7181
1000	7186
2000	7192
3000	7191
4000	7184
5000	7179
6000	7178
7000	7172
8000	7179
9000	7184
10000	7171
11000	7173
12000	7171
13000	7173
14000	7173
15000	7166
16000	7155
17000	7149
18000	7170
19000	7171
20000	7112
21000	7096
22000	7127
23000	6692
24000	6415
25000	5949
26000	5659
27000	5003
28000	4467
29000	4522
30000	4210
31000	3700
32000	3637
33000	3477
34000	3367
35000	4105
36000	3483
37000	4114
Numero di step eseguiti = 37120
Simulation 58
0	7185
Numero di step eseguiti = 728
Simulation 59
0	7184
Numero di step eseguiti = 129
Simulation 60
0	7176
Numero di step eseguiti = 624
Simulation 61
0	7180
Numero di step eseguiti = 274
Simulation 62
0	7169
1000	7185
2000	7188
3000	7191
4000	7186
5000	7184
6000	7187
7000	7179
8000	7183
9000	7187
10000	7189
11000	7184
12000	7179
13000	7179
14000	7191
15000	7184
16000	7163
17000	7153
18000	7171
19000	7192
20000	7181
21000	7171
22000	7121
23000	7186
24000	7163
25000	7116
26000	7195
27000	7051
28000	6945
29000	5934
30000	5523
31000	4818
32000	4558
33000	4299
34000	4086
35000	3734
36000	4259
37000	4787
38000	4772
39000	2978
40000	2843
41000	2794
42000	2787
43000	2668
44000	3189
45000	5796
Numero di step eseguiti = 45367
Simulation 63
0	7171
1000	7188
2000	7189
3000	7181
4000	7178
5000	7186
6000	7178
7000	7174
8000	7174
9000	7173
10000	7172
11000	7168
12000	7159
13000	7173
14000	7168
15000	7174
16000	7174
17000	7165
18000	7174
19000	7157
20000	7102
21000	7113
22000	7056
23000	7071
24000	6847
25000	6714
26000	6339
27000	6066
28000	5908
29000	5680
30000	4896
31000	4193
32000	3814
33000	6876
34000	4566
35000	5607
Numero di step eseguiti = 35106
Simulation 64
0	7180
1000	7196
Numero di step eseguiti = 1180
Simulation 65
0	7179
Numero di step eseguiti = 254
Simulation 66
0	7177
1000	7189
2000	7191
3000	7180
4000	7187
5000	7180
6000	7171
7000	7172
8000	7183
9000	7176
10000	7180
11000	7170
12000	7185
13000	7145
14000	7178
15000	7139
16000	7158
17000	7161
18000	7128
19000	7140
20000	7150
21000	7087
22000	7016
23000	6955
24000	6790
25000	6699
26000	6236
27000	5652
28000	4839
29000	5030
30000	7175
Numero di step eseguiti = 30860
Simulation 67
0	7183
1000	7197
2000	7189
3000	7190
4000	7193
5000	7184
6000	7188
7000	7192
8000	7189
9000	7189
10000	7183
11000	7180
12000	7189
13000	7181
14000	7165
15000	7182
16000	7180
17000	7185
18000	7183
19000	7153
20000	7162
21000	7130
22000	7185
23000	7174
24000	7159
25000	7185
26000	7053
27000	6979
28000	6908
29000	6492
30000	6288
31000	5614
32000	5306
33000	5067
34000	6926
35000	7198
36000	7197
37000	6852
38000	3864
39000	3483
40000	3191
41000	3367
42000	6737
Numero di step eseguiti = 42474
Simulation 68
0	7172
Numero di step eseguiti = 94
Simulation 69
0	7180
Numero di step eseguiti = 351
Simulation 70
0	7181
1000	7195
2000	7189
3000	7195
4000	7186
5000	7176
6000	7171
7000	7184
8000	7164
9000	7178
10000	7164
11000	7176
12000	7165
13000	7175
14000	7175
15000	7160
16000	7137
17000	7156
18000	7180
19000	7159
20000	7101
21000	7080
22000	7106
23000	6558
24000	5847
25000	5689
26000	5357
27000	5039
28000	4605
29000	4279
30000	3953
31000	3776
32000	3496
33000	3424
34000	3453
35000	3988
Numero di step eseguiti = 35995
Simulation 71
0	7178
1000	7195
2000	7193
3000	7190
4000	7181
5000	7187
6000	7185
7000	7180
8000	7185
9000	7174
10000	7165
11000	7168
12000	7168
13000	7178
14000	7165
15000	7181
16000	7178
17000	7112
18000	7125
19000	7053
20000	6958
21000	6552
22000	6508
23000	5649
24000	5642
25000	5155
26000	4771
27000	4783
28000	6703
29000	3786
30000	3557
31000	3467
32000	3368
33000	3041
34000	3011
35000	2959
36000	2924
37000	2781
38000	2764
39000	2619
Numero di step eseguiti = 39721
Simulation 72
0	7174
1000	7193
2000	7187
3000	7188
4000	7183
5000	7185
6000	7186
7000	7182
8000	7194
9000	7188
10000	7180
11000	7178
12000	7186
13000	7174
14000	7173
15000	7138
16000	7129
17000	7145
18000	7024
19000	7158
20000	6776
21000	6562
22000	6654
23000	6444
24000	6430
25000	6312
26000	5533
27000	4957
28000	4606
29000	4255
30000	4094
31000	4720
Numero di step eseguiti = 31325
Simulation 73
0	7175
Numero di step eseguiti = 429
Simulation 74
0	7170
Numero di step eseguiti = 179
Simulation 75
0	7185
1000	7195
2000	7192
3000	7189
4000	7191
5000	7186
6000	7182
7000	7179
8000	7182
9000	7181
10000	7185
11000	7180
12000	7172
13000	7181
14000	7186
15000	7183
16000	7123
17000	7169
18000	7064
19000	7057
20000	7115
21000	6720
22000	6495
23000	5931
24000	5831
25000	5388
26000	4890
27000	4532
28000	4532
29000	4440
30000	5386
Numero di step eseguiti = 30209
Simulation 76
0	7172
Numero di step eseguiti = 491
Simulation 77
0	7182
1000	7192
2000	7193
3000	7193
4000	7188
5000	7182
6000	7188
7000	7185
8000	7189
9000	7184
10000	7184
11000	7173
12000	7170
13000	7169
14000	7172
15000	7155
16000	7145
17000	7051
18000	7022
19000	6985
20000	6639
21000	6511
22000	6275
23000	6529
24000	5506
25000	5238
26000	3964
27000	5040
28000	5218
29000	7136
Numero di step eseguiti = 29027
Simulation 78
0	7179
1000	7195
2000	7196
3000	7194
4000	7189
5000	7180
6000	7183
7000	7179
8000	7178
9000	7174
10000	7187
11000	7184
12000	7180
13000	7188
14000	7182
15000	7170
16000	7184
17000	7185
18000	7171
19000	7156
20000	7134
21000	7161
22000	7111
23000	7189
24000	7178
25000	6337
26000	6207
27000	5873
28000	5692
29000	5487
30000	4523
Numero di step eseguiti = 30956
Simulation 79
0	7187
1000	7191
2000	7195
3000	7192
4000	7195
5000	7191
6000	7172
7000	7188
8000	7191
9000	7175
10000	7177
11000	7174
12000	7146
13000	7159
14000	7155
15000	7161
16000	7164
17000	7177
18000	7151
19000	7068
20000	7003
21000	7171
22000	6951
23000	6514
24000	6099
25000	5958
26000	5364
27000	5081
28000	4917
29000	4602
30000	4518
31000	5921
Numero di step eseguiti = 31113
Simulation 80
0	7177
Numero di step eseguiti = 83
Simulation 81
0	7184
Numero di step eseguiti = 334
Simulation 82
0	7181
Numero di step eseguiti = 273
Simulation 83
0	7176
Numero di step eseguiti = 217
Simulation 84
0	7177
1000	7194
2000	7192
3000	7188
4000	7188
5000	7181
6000	7188
7000	7176
8000	7168
9000	7153
10000	7149
11000	7161
12000	7177
13000	7152
14000	7170
15000	7159
16000	7013
17000	6956
18000	6912
19000	6916
20000	6383
21000	5996
22000	5629
23000	5163
24000	4969
25000	4867
26000	4632
27000	5171
Numero di step eseguiti = 27159
Simulation 85
0	7178
Numero di step eseguiti = 417
Simulation 86
0	7177
1000	7193
2000	7195
3000	7189
4000	7192
5000	7180
6000	7179
7000	7180
8000	7177
9000	7182
10000	7173
11000	7174
12000	7175
13000	7170
14000	7169
15000	7179
16000	7177
17000	7163
18000	7175
19000	7186
20000	6965
21000	7067
22000	6487
23000	6101
24000	5946
25000	5500
26000	4864
27000	5112
28000	4732
29000	3910
30000	3501
31000	3485
32000	3332
33000	3229
34000	3157
35000	2967
36000	3751
37000	5020
Numero di step eseguiti = 37364
Simulation 87
0	7178
Numero di step eseguiti = 112
Simulation 88
0	7175
Numero di step eseguiti = 198
Simulation 89
0	7174
Numero di step eseguiti = 111
Simulation 90
0	7175
Numero di step eseguiti = 756
Simulation 91
0	7171
1000	7189
2000	7185
3000	7184
4000	7179
5000	7177
6000	7167
7000	7176
8000	7164
9000	7170
10000	7179
11000	7187
12000	7185
13000	7183
14000	7183
15000	7176
16000	7169
17000	7170
18000	7176
19000	7168
20000	7112
21000	7121
22000	7061
23000	7030
24000	6441
25000	6273
26000	6140
27000	5394
28000	4950
29000	4656
30000	4212
31000	4181
32000	3769
33000	3781
34000	3518
35000	3346
36000	3231
37000	2972
38000	3215
39000	2920
40000	3035
41000	2840
42000	2524
Numero di step eseguiti = 42924
Simulation 92
0	7188
1000	7193
2000	7193
3000	7187
4000	7187
5000	7179
6000	7186
7000	7182
8000	7185
9000	7189
10000	7180
11000	7179
12000	7161
13000	7165
14000	7170
15000	7167
16000	7151
17000	7156
18000	7152
19000	7163
20000	7150
21000	7084
22000	6937
23000	7090
24000	7159
25000	7186
26000	6998
27000	6892
28000	6550
29000	6420
30000	5615
31000	5484
32000	5158
33000	4799
34000	4142
35000	4085
36000	3646
37000	3483
38000	3390
39000	3248
40000	3839
Numero di step eseguiti = 40633
Simulation 93
0	7172
1000	7192
2000	7190
3000	7186
4000	7186
5000	7183
6000	7171
7000	7165
8000	7169
9000	7169
10000	7168
11000	7158
12000	7181
13000	7163
14000	7189
15000	7149
16000	7035
17000	7085
18000	6918
19000	6702
20000	6646
21000	6497
22000	7196
23000	5443
24000	5102
25000	4443
26000	4228
27000	4004
28000	3608
29000	3422
30000	3578
31000	3041
32000	2869
33000	2931
34000	2617
35000	2537
36000	3254
37000	3112
38000	2553
39000	2827
40000	2815
41000	3220
42000	5508
Numero di step eseguiti = 42342
Simulation 94
0	7180
1000	7194
2000	7192
3000	7188
4000	7190
5000	7189
6000	7190
7000	7178
8000	7184
9000	7173
10000	7174
11000	7179
12000	7178
13000	7184
14000	7181
15000	7185
16000	7156
17000	7099
18000	7108
19000	7170
20000	7169
21000	7123
22000	7112
23000	7123
24000	7164
25000	6763
26000	6345
27000	5994
28000	5645
29000	4897
30000	4834
31000	4500
32000	3890
33000	3838
34000	3580
35000	3275
36000	3100
37000	3427
Numero di step eseguiti = 37860
Simulation 95
0	7180
1000	7193
2000	7192
3000	7190
4000	7186
5000	7188
6000	7185
7000	7182
8000	7187
9000	7183
10000	7171
11000	7173
12000	7184
13000	7175
14000	7167
15000	7182
16000	7152
17000	7136
18000	7153
19000	7115
20000	6885
21000	6679
22000	6141
23000	5734
24000	5710
25000	5524
26000	5358
27000	5324
28000	4992
29000	4673
30000	3796
31000	3457
32000	7135
Numero di step eseguiti = 32003
Simulation 96
0	7174
1000	7191
2000	7191
3000	7180
4000	7190
5000	7190
6000	7168
7000	7189
8000	7176
9000	7172
10000	7184
11000	7188
12000	7192
13000	7188
14000	7182
15000	7186
16000	7187
17000	7186
18000	7182
19000	7184
20000	7125
21000	7163
22000	7173
23000	7105
24000	7113
25000	7029
26000	7099
27000	7051
28000	6351
29000	5811
30000	5651
31000	5379
32000	4795
33000	4583
34000	3926
35000	3417
36000	3211
37000	3108
38000	2745
39000	2665
40000	2667
Numero di step eseguiti = 40739
Simulation 97
0	7174
1000	7196
Numero di step eseguiti = 1666
Simulation 98
0	7172
Numero di step eseguiti = 183
Simulation 99
0	7182
Numero di step eseguiti = 95
Simulation 100
0	7178
1000	7188
2000	7187
3000	7189
4000	7187
5000	7184
6000	7192
7000	7190
8000	7190
9000	7186
10000	7192
11000	7187
12000	7175
13000	7190
14000	7181
15000	7183
16000	7175
17000	7155
18000	7180
19000	7186
20000	7165
21000	7136
22000	7166
23000	7165
24000	7066
25000	7021
26000	6681
27000	6318
28000	5726
29000	5098
30000	4763
31000	4308
32000	3721
33000	3561
34000	3149
35000	2957
36000	2979
37000	3329
Numero di step eseguiti = 37421
pos_features = 1500
Simulation 1
0	7186
Numero di step eseguiti = 149
Simulation 2
0	7182
1000	7193
2000	7190
3000	7185
4000	7186
5000	7194
6000	7190
7000	7189
8000	7181
9000	7179
10000	7188
11000	7193
12000	7183
13000	7185
14000	7177
15000	7179
16000	7162
17000	7189
18000	7150
19000	7126
20000	7103
21000	7136
22000	7186
23000	6914
24000	6568
25000	6163
26000	5968
27000	5770
28000	4885
29000	4858
30000	4674
31000	4734
32000	4920
33000	5838
Numero di step eseguiti = 33504
Simulation 3
0	7184
Numero di step eseguiti = 446
Simulation 4
0	7184
Numero di step eseguiti = 548
Simulation 5
0	7188
1000	7193
2000	7196
3000	7195
4000	7194
5000	7192
6000	7193
7000	7194
8000	7191
9000	7190
10000	7196
11000	7174
12000	7174
13000	7180
14000	7139
15000	7173
16000	7188
17000	7143
18000	7193
19000	7155
20000	6978
21000	7061
22000	7092
23000	6641
24000	6401
25000	6155
26000	6250
27000	6634
28000	4991
29000	4792
30000	4665
31000	4500
32000	3716
Numero di step eseguiti = 32611
Simulation 6
0	7191
Numero di step eseguiti = 196
Simulation 7
0	7188
Numero di step eseguiti = 197
Simulation 8
0	7190
Numero di step eseguiti = 263
Simulation 9
0	7181
1000	7191
2000	7188
3000	7190
4000	7185
5000	7182
6000	7183
7000	7175
8000	7188
9000	7160
10000	7177
11000	7183
12000	7194
13000	7186
14000	7184
15000	7195
16000	7178
17000	7197
18000	7180
19000	7181
20000	7107
21000	7155
22000	7165
23000	7000
24000	7187
25000	7194
26000	6797
27000	6313
28000	6065
29000	5959
30000	5981
31000	5032
32000	4819
33000	4153
34000	3966
35000	4144
36000	3349
37000	3281
38000	3148
39000	4566
Numero di step eseguiti = 39143
Simulation 10
0	7189
Numero di step eseguiti = 42
Simulation 11
0	7182
Numero di step eseguiti = 422
Simulation 12
0	7189
1000	7195
2000	7189
3000	7184
4000	7190
5000	7187
6000	7190
7000	7176
8000	7188
9000	7178
10000	7184
11000	7190
12000	7179
13000	7182
14000	7165
15000	7195
16000	7179
17000	7168
18000	7151
19000	7115
20000	7168
21000	6992
22000	7077
23000	7089
24000	6692
25000	6680
26000	5758
27000	4941
28000	4963
29000	4690
Numero di step eseguiti = 29884
Simulation 13
0	7193
Numero di step eseguiti = 344
Simulation 14
0	7181
Numero di step eseguiti = 594
Simulation 15
0	7185
1000	7188
2000	7194
3000	7191
4000	7190
5000	7187
6000	7187
7000	7181
8000	7181
9000	7182
10000	7160
11000	7194
12000	7165
13000	7178
14000	7191
15000	7188
16000	7184
17000	7177
18000	7190
19000	7165
20000	7180
21000	7148
22000	7106
23000	7185
24000	6860
25000	6564
26000	6342
27000	5670
28000	5402
29000	4871
30000	4179
31000	3887
32000	3597
33000	3368
34000	3032
35000	3024
36000	3464
37000	2758
Numero di step eseguiti = 37609
Simulation 16
0	7190
1000	7195
2000	7190
3000	7191
4000	7195
5000	7186
6000	7182
7000	7182
8000	7190
9000	7188
10000	7186
11000	7194
12000	7188
13000	7190
14000	7184
15000	7183
16000	7187
17000	7197
18000	7174
Numero di step eseguiti = 18211
Simulation 17
0	7183
Numero di step eseguiti = 310
Simulation 18
0	7185
1000	7190
2000	7195
Numero di step eseguiti = 2190
Simulation 19
0	7186
Numero di step eseguiti = 146
Simulation 20
0	7181
Numero di step eseguiti = 575
Simulation 21
0	7187
Numero di step eseguiti = 291
Simulation 22
0	7187
1000	7195
2000	7186
3000	7188
4000	7183
5000	7179
6000	7184
7000	7189
8000	7183
9000	7188
10000	7188
11000	7180
12000	7192
13000	7185
14000	7190
15000	7180
16000	7162
17000	7180
18000	7170
19000	7192
20000	7161
21000	7139
22000	7178
23000	7162
24000	7143
25000	7134
26000	7085
27000	7107
28000	7028
29000	6878
30000	6929
31000	7170
32000	6140
33000	5617
34000	5355
35000	5064
36000	4899
37000	3821
38000	3930
39000	3447
40000	3465
41000	3217
42000	3176
43000	2950
44000	2787
45000	2738
46000	2927
47000	2477
48000	2603
49000	2416
50000	2620
51000	2372
52000	2300
53000	4234
Numero di step eseguiti = 53423
Simulation 23
0	7184
1000	7192
2000	7182
3000	7191
4000	7194
5000	7191
6000	7188
7000	7188
8000	7180
9000	7183
10000	7189
11000	7185
12000	7182
13000	7185
14000	7179
15000	7190
16000	7184
17000	7184
18000	7189
19000	7170
20000	7175
21000	7175
22000	7102
23000	7149
24000	7060
25000	7002
26000	7064
27000	6712
28000	5969
29000	5510
30000	5565
31000	5224
32000	6144
33000	6767
Numero di step eseguiti = 33857
Simulation 24
0	7185
Numero di step eseguiti = 115
Simulation 25
0	7189
1000	7196
2000	7191
3000	7195
4000	7191
5000	7182
6000	7190
7000	7188
8000	7193
9000	7189
10000	7184
11000	7190
12000	7194
13000	7181
14000	7186
15000	7189
16000	7191
17000	7182
18000	7160
19000	7177
20000	7182
21000	7142
22000	7169
23000	7185
24000	7163
25000	7183
26000	7186
27000	7130
28000	7102
29000	7174
30000	6708
31000	6486
32000	5796
33000	5587
34000	5307
35000	5120
36000	4387
37000	3956
38000	3527
39000	4786
Numero di step eseguiti = 39429
Simulation 26
0	7185
Numero di step eseguiti = 543
Simulation 27
0	7191
Numero di step eseguiti = 194
Simulation 28
0	7183
Numero di step eseguiti = 526
Simulation 29
0	7184
Numero di step eseguiti = 124
Simulation 30
0	7189
1000	7192
2000	7194
3000	7188
4000	7187
5000	7184
6000	7188
7000	7187
8000	7184
9000	7190
10000	7188
11000	7190
12000	7177
13000	7193
14000	7185
15000	7166
16000	7188
17000	7183
18000	7178
19000	7190
20000	7182
21000	7183
22000	7150
23000	7178
24000	7021
25000	6629
26000	6464
27000	6387
28000	6648
29000	5734
30000	6427
31000	5263
32000	5182
33000	4902
34000	4538
35000	4238
36000	4218
37000	3974
38000	3966
39000	3520
40000	4744
Numero di step eseguiti = 40379
Simulation 31
0	7184
1000	7194
2000	7197
3000	7192
4000	7190
5000	7192
6000	7186
7000	7183
8000	7178
9000	7177
10000	7170
11000	7177
12000	7184
13000	7174
14000	7179
15000	7181
16000	7187
17000	7169
18000	7139
19000	7139
20000	7158
21000	7111
22000	7093
23000	7087
24000	6878
25000	7036
26000	6343
27000	6042
28000	5915
29000	7156
30000	7190
31000	7191
32000	5362
33000	5694
34000	7065
35000	5134
Numero di step eseguiti = 35681
Simulation 32
0	7189
Numero di step eseguiti = 466
Simulation 33
0	7180
Numero di step eseguiti = 230
Simulation 34
0	7183
Numero di step eseguiti = 363
Simulation 35
0	7184
1000	7199
2000	7193
3000	7189
4000	7185
5000	7188
6000	7188
7000	7193
8000	7191
9000	7190
10000	7185
11000	7190
12000	7165
13000	7182
